index,bitmask,num_features,mean_accuracy,mean_time
85,000000001010101,4,0.8566645477,0.1323681865
86,000000001010110,4,0.878188774,0.137529647
87,000000001010111,5,0.8780293353,0.2043305878
88,000000001011000,3,0.8593750056,0.1341146025
89,000000001011001,4,0.8566645496,0.1579846235
90,000000001011010,4,0.8518813867,0.173355595
91,000000001011011,5,0.8689413294,0.2082088881
92,000000001011100,4,0.8644770421,0.0539426672
93,000000001011101,5,0.8509247527,0.142226129
94,000000001011110,5,0.8671875037,0.127452848
95,000000001011111,6,0.8804209158,0.205998725
96,000000001100000,2,0.8638392892,0.01080519165
97,000000001100001,3,0.8579400592,0.15596287
98,000000001100010,3,0.8595344443,0.2262021815
99,000000001100011,4,0.8713329099,0.2167819389
100,000000001100100,3,0.867028065,0.01594595192
101,000000001100101,4,0.8616071474,0.08833108039
102,000000001100110,4,0.8735650517,0.1187280845
103,000000001100111,5,0.8780293353,0.1772975188
104,000000001101000,3,0.8574617412,0.04426907946
105,000000001101001,4,0.8590561301,0.1180596771
106,000000001101010,4,0.8561862316,0.1241388861
107,000000001101011,5,0.8732461743,0.1823161421
108,000000001101100,4,0.8601722009,0.04508987011
109,000000001101101,5,0.8512436301,0.08662843273
110,000000001101110,5,0.8606505152,0.08552160027
111,000000001101111,6,0.8735650517,0.1742886896
112,000000001110000,3,0.8622449022,0.1034732761
113,000000001110001,4,0.8587372508,0.233976719
114,000000001110010,4,0.8657525554,0.1410737529
115,000000001110011,5,0.8793048449,0.1874058535
116,000000001110100,4,0.8561862279,0.05025434098
117,000000001110101,5,0.8515625093,0.113533708
118,000000001110110,5,0.8724489808,0.1153625641
119,000000001110111,6,0.8802614771,0.1611059969
120,000000001111000,4,0.8603316378,0.05241461075
121,000000001111001,5,0.8565051071,0.114096703
122,000000001111010,5,0.8523597047,0.1207495872
123,000000001111011,6,0.8753188774,0.2284803768
124,000000001111100,5,0.8553890381,0.1695641791
125,000000001111101,6,0.8461415861,0.113667738
