run_index,seed,algorithm,case,bitstring,n_features,accuracy,second_objective,scalar_fitness
7,1000007,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
7,1000007,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
7,1000007,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
7,1000007,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
7,1000007,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
7,1000007,nsga2,triangle,1000000000111000,4,4,4,3.975
7,1000007,pso,triangle,0001101000001000,4,4,4,3.975
7,1000007,sga,triangle,0001110000010000,4,4,0.025,3.975
8,1000008,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
8,1000008,pso,breast,010001000,2,0.95564,0.0887217,0.933418
8,1000008,sga,breast,010001000,2,0.95564,0.0222222,0.933418
8,1000008,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
8,1000008,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
8,1000008,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
8,1000008,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
8,1000008,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
8,1000008,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
8,1000008,nsga2,triangle,1000100100000001,4,4,4,3.975
8,1000008,pso,triangle,1000000100010010,4,4,4,3.975
8,1000008,sga,triangle,0010000101001000,4,4,0.025,3.975
9,1000009,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
9,1000009,pso,breast,010001000,2,0.95564,0.0887217,0.933418
9,1000009,sga,breast,010001000,2,0.95564,0.0222222,0.933418
9,1000009,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
9,1000009,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
9,1000009,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
9,1000009,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
9,1000009,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
9,1000009,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
9,1000009,nsga2,triangle,0100000101000010,4,4,4,3.975
9,1000009,pso,triangle,1000001000010001,4,4,4,3.975
9,1000009,sga,triangle,0000100110010000,4,4,0.025,3.975
10,1000010,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
